iter	MultiClass
0	2.697713509
1	2.605027221
2	2.517350953
3	2.442866051
4	2.383233722
5	2.332984307
6	2.280333576
7	2.241579869
8	2.200376501
9	2.167178172
10	2.131283629
11	2.102340911
12	2.067934215
13	2.043775473
14	2.019627558
15	1.993007237
16	1.971932581
17	1.94935968
18	1.929622949
19	1.911764792
20	1.897394679
21	1.884002301
22	1.866725194
23	1.848331633
24	1.837888011
25	1.823702641
26	1.810364121
27	1.799552929
28	1.786860647
29	1.771101929
30	1.758606754
31	1.749740762
32	1.738854143
33	1.724679858
34	1.71549273
35	1.709919414
36	1.70223554
37	1.692402745
38	1.679395747
39	1.669109169
40	1.660637203
41	1.653416033
42	1.643236764
43	1.636927154
44	1.630699208
45	1.622969435
46	1.614389701
47	1.608445621
48	1.60443404
49	1.598227487
50	1.593613376
51	1.58646882
52	1.577648775
53	1.569639738
54	1.56283454
55	1.557555034
56	1.55093498
57	1.542032758
58	1.535517714
59	1.529020187
60	1.524408242
61	1.520549498
62	1.513610092
63	1.507252635
64	1.500917192
65	1.495546019
66	1.491218091
67	1.482611161
68	1.471889631
69	1.467726915
70	1.462712432
71	1.457260575
72	1.45352368
73	1.447465978
74	1.439803963
75	1.433414976
76	1.428180461
77	1.422450557
78	1.418872625
79	1.412864079
80	1.408764293
81	1.405496467
82	1.398674751
83	1.39583209
84	1.392725068
85	1.389456051
86	1.384437273
87	1.377847408
88	1.375241246
89	1.370485995
90	1.365147885
91	1.36095191
92	1.358125747
93	1.354348691
94	1.350221553
95	1.347128083
96	1.342769416
97	1.338898329
98	1.335924674
99	1.331948915
100	1.325841813
101	1.320027751
102	1.315491875
103	1.311312852
104	1.306685208
105	1.301527338
106	1.295095632
107	1.291240611
108	1.28843935
109	1.283841692
110	1.275490493
111	1.270484181
112	1.268066126
113	1.264938717
114	1.261494684
115	1.25403452
116	1.250975308
117	1.243106292
118	1.236987349
119	1.229515215
120	1.227076965
121	1.222225963
122	1.215065645
123	1.211512868
124	1.207427189
125	1.202164783
126	1.197764226
127	1.19309356
128	1.189274372
129	1.183541505
130	1.180071545
131	1.177373827
132	1.173899873
133	1.170375435
134	1.167824317
135	1.164630758
136	1.163102667
137	1.160197434
138	1.1571926
139	1.154497764
140	1.151915471
141	1.147873209
142	1.145102147
143	1.139558745
144	1.134630332
145	1.129241368
146	1.127417102
147	1.124533908
148	1.122176194
149	1.118503346
150	1.11677002
151	1.113710959
152	1.110760996
153	1.106542035
154	1.104673258
155	1.103136645
156	1.099004894
157	1.09478515
158	1.091459641
159	1.087748203
160	1.084709513
161	1.081677366
162	1.077019605
163	1.075009588
164	1.072292515
165	1.069560374
166	1.067038348
167	1.064815075
