iter	Passed	Remaining
0	267	267436
1	282	141075
2	298	99160
3	313	78184
4	329	65477
5	344	57131
6	360	51114
7	376	46691
8	391	43161
9	406	40285
10	422	37952
11	438	36136
12	456	34671
13	474	33414
14	493	32386
15	511	31459
16	533	30873
17	556	30353
18	575	29709
19	593	29075
20	608	28362
21	622	27694
22	637	27087
23	652	26525
24	667	26044
25	683	25612
26	699	25202
27	714	24788
28	729	24417
29	743	24054
30	759	23727
31	774	23426
32	789	23125
33	804	22864
34	820	22632
35	836	22409
36	851	22174
37	867	21956
38	883	21762
39	898	21564
40	915	21405
41	932	21260
42	948	21111
43	964	20963
44	980	20808
45	994	20635
46	1009	20473
47	1024	20321
48	1039	20173
49	1054	20038
50	1069	19908
51	1085	19792
52	1100	19667
53	1115	19545
54	1131	19434
55	1145	19316
56	1160	19199
57	1175	19094
58	1191	18996
59	1207	18914
60	1224	18846
61	1240	18760
62	1255	18674
63	1271	18599
64	1288	18531
65	1303	18452
66	1319	18373
67	1334	18292
68	1349	18213
69	1364	18134
70	1379	18054
71	1394	17978
72	1409	17903
73	1425	17835
74	1442	17787
75	1457	17724
76	1472	17653
77	1488	17591
78	1504	17534
79	1518	17467
80	1533	17403
81	1548	17338
82	1563	17276
83	1579	17223
84	1595	17175
85	1611	17130
86	1626	17071
87	1643	17027
88	1657	16968
89	1673	16922
90	1688	16869
91	1704	16822
92	1719	16772
93	1734	16718
94	1749	16668
95	1764	16620
96	1780	16571
97	1794	16519
98	1810	16478
99	1827	16446
100	1842	16399
101	1857	16354
102	1874	16322
103	1893	16313
104	1909	16273
105	1925	16243
106	1942	16210
107	1958	16173
108	1973	16131
109	1988	16088
110	2005	16058
111	2022	16032
112	2038	16003
113	2054	15965
114	2070	15934
115	2087	15904
116	2102	15868
117	2117	15829
118	2133	15793
119	2148	15757
120	2164	15722
121	2180	15690
122	2197	15665
123	2213	15634
124	2230	15610
125	2246	15584
126	2263	15556
127	2279	15527
128	2295	15496
129	2311	15467
130	2326	15435
131	2342	15402
132	2357	15367
133	2372	15332
134	2388	15303
135	2403	15266
136	2418	15234
137	2436	15216
138	2451	15183
139	2466	15149
140	2481	15117
141	2497	15088
142	2512	15055
143	2528	15031
144	2544	15001
145	2560	14975
146	2575	14945
147	2590	14912
148	2605	14879
149	2620	14849
150	2635	14818
151	2650	14785
152	2666	14759
153	2681	14733
154	2691	14673
155	2708	14651
156	2723	14624
157	2739	14596
158	2756	14580
159	2773	14561
160	2793	14554
161	2810	14537
162	2826	14516
163	2842	14491
164	2859	14468
165	2874	14441
166	2889	14414
167	2904	14385
168	2920	14360
169	2935	14332
170	2950	14305
171	2966	14279
172	2981	14253
173	2997	14228
174	3012	14203
175	3027	14176
176	3043	14150
177	3059	14128
178	3074	14101
179	3090	14080
180	3108	14067
181	3125	14048
182	3144	14037
183	3162	14023
184	3180	14012
185	3200	14004
186	3217	13988
187	3234	13969
188	3249	13945
189	3265	13920
190	3280	13893
191	3295	13868
192	3311	13847
193	3327	13823
194	3342	13797
195	3357	13774
196	3373	13751
197	3389	13727
198	3404	13704
199	3422	13688
200	3437	13664
201	3456	13653
202	3474	13639
203	3490	13620
204	3507	13600
205	3523	13581
206	3539	13558
207	3555	13538
208	3571	13515
209	3587	13496
210	3603	13473
211	3618	13449
212	3633	13424
213	3648	13399
214	3663	13375
215	3679	13355
216	3695	13334
217	3710	13309
218	3726	13287
219	3741	13265
220	3756	13242
221	3772	13220
222	3787	13196
223	3802	13172
224	3817	13150
225	3833	13127
226	3848	13105
227	3864	13085
228	3881	13066
229	3897	13047
230	3913	13026
231	3929	13008
232	3946	12990
233	3961	12967
234	3977	12946
235	3993	12926
236	4008	12905
237	4024	12884
238	4039	12862
239	4054	12839
240	4069	12816
241	4085	12797
242	4101	12775
243	4117	12757
244	4133	12736
245	4148	12715
246	4163	12693
247	4179	12673
248	4194	12651
249	4210	12632
250	4225	12610
251	4241	12588
252	4256	12566
253	4271	12546
254	4286	12524
255	4303	12507
256	4319	12487
257	4335	12467
258	4350	12446
259	4366	12428
260	4382	12408
261	4398	12390
262	4414	12371
263	4431	12354
264	4448	12338
265	4464	12319
266	4480	12299
267	4495	12278
268	4510	12257
269	4526	12237
270	4541	12215
271	4556	12195
272	4571	12174
273	4587	12154
274	4603	12135
275	4619	12117
276	4634	12096
277	4650	12077
278	4665	12057
279	4680	12036
280	4696	12017
281	4712	11997
282	4727	11978
283	4743	11957
284	4758	11938
285	4773	11917
286	4788	11896
287	4803	11876
288	4819	11856
289	4835	11838
290	4851	11819
291	4866	11799
292	4881	11779
293	4897	11759
294	4912	11740
295	4928	11722
296	4944	11704
297	4959	11683
298	4974	11663
299	4989	11642
300	5004	11621
301	5019	11601
302	5034	11581
303	5050	11563
304	5066	11544
305	5081	11524
306	5097	11506
307	5112	11487
308	5128	11468
309	5144	11450
310	5160	11431
311	5175	11412
312	5190	11393
313	5206	11374
314	5221	11353
315	5236	11334
316	5252	11317
317	5267	11297
318	5283	11278
319	5298	11258
320	5313	11239
321	5328	11220
322	5343	11200
323	5359	11182
324	5374	11162
325	5390	11144
326	5405	11125
327	5420	11106
328	5436	11086
329	5451	11068
330	5467	11050
331	5482	11031
332	5498	11012
333	5513	10993
334	5528	10974
335	5544	10957
336	5561	10941
337	5576	10922
338	5592	10903
339	5607	10885
340	5622	10865
341	5637	10846
342	5652	10827
343	5667	10808
344	5684	10791
345	5699	10772
346	5714	10754
347	5729	10735
348	5745	10716
349	5760	10697
350	5776	10679
351	5791	10661
352	5806	10643
353	5822	10624
354	5837	10606
355	5852	10587
356	5867	10568
357	5883	10551
358	5899	10533
359	5914	10514
360	5930	10497
361	5945	10479
362	5961	10461
363	5976	10442
364	5993	10426
365	6008	10408
366	6023	10389
367	6039	10371
368	6054	10353
369	6069	10334
370	6084	10316
371	6099	10297
372	6115	10279
373	6130	10261
374	6145	10243
375	6161	10224
376	6176	10207
377	6192	10189
378	6208	10173
379	6224	10155
380	6239	10137
381	6255	10119
382	6270	10102
383	6287	10085
384	6302	10067
385	6317	10049
386	6333	10031
387	6348	10012
388	6362	9993
389	6377	9975
390	6393	9957
391	6408	9939
392	6423	9921
393	6438	9903
394	6454	9885
395	6469	9867
396	6484	9849
397	6500	9832
398	6515	9813
399	6530	9796
400	6546	9778
401	6560	9759
402	6576	9741
403	6591	9724
404	6607	9706
405	6622	9689
406	6638	9671
407	6653	9654
408	6668	9636
409	6684	9619
410	6699	9601
411	6715	9584
412	6730	9566
413	6746	9549
414	6761	9531
415	6776	9513
416	6791	9495
417	6807	9478
418	6822	9460
419	6838	9443
420	6854	9426
421	6869	9409
422	6884	9391
423	6899	9373
424	6915	9356
425	6931	9339
426	6948	9324
427	6965	9308
428	6980	9290
429	6995	9272
430	7010	9255
431	7025	9237
432	7040	9219
433	7056	9203
434	7072	9185
435	7087	9168
436	7103	9151
437	7118	9134
438	7134	9117
439	7149	9099
440	7165	9082
441	7181	9066
442	7196	9048
443	7211	9030
444	7226	9013
445	7241	8995
446	7257	8978
447	7273	8961
448	7288	8943
449	7303	8926
450	7318	8909
451	7334	8891
452	7349	8874
453	7365	8858
454	7381	8840
455	7396	8824
456	7412	8806
457	7427	8789
458	7442	8772
459	7457	8754
460	7475	8740
461	7491	8724
462	7507	8707
463	7523	8690
464	7538	8673
465	7553	8655
466	7568	8638
467	7584	8621
468	7599	8604
469	7614	8586
470	7629	8569
471	7645	8552
472	7660	8535
473	7675	8517
474	7690	8500
475	7706	8483
476	7721	8466
477	7736	8448
478	7751	8431
479	7767	8414
480	7782	8397
481	7798	8380
482	7813	8363
483	7829	8346
484	7844	8329
485	7860	8312
486	7875	8296
487	7891	8279
488	7907	8262
489	7922	8245
490	7937	8228
491	7952	8210
492	7967	8193
493	7983	8176
494	7999	8160
495	8014	8143
496	8030	8127
497	8046	8110
498	8061	8093
499	8076	8076
500	8092	8060
501	8107	8043
502	8122	8026
503	8138	8009
504	8153	7991
505	8168	7974
506	8183	7957
507	8199	7940
508	8215	7924
509	8230	7907
510	8245	7890
511	8261	7873
512	8276	7856
513	8291	7840
514	8308	7824
515	8323	7807
516	8339	7790
517	8354	7773
518	8369	7756
519	8385	7740
520	8400	7722
521	8415	7706
522	8431	7690
523	8447	7673
524	8462	7656
525	8477	7639
526	8493	7623
527	8510	7608
528	8529	7594
529	8546	7578
530	8561	7561
531	8576	7544
532	8591	7527
533	8606	7510
534	8622	7494
535	8638	7478
536	8654	7462
537	8670	7445
538	8686	7429
539	8701	7412
540	8716	7395
541	8732	7378
542	8747	7362
543	8763	7345
544	8778	7329
545	8794	7312
546	8809	7295
547	8825	7279
548	8841	7263
549	8857	7246
550	8872	7230
551	8887	7213
552	8903	7196
553	8918	7180
554	8934	7163
555	8950	7147
556	8965	7130
557	8980	7113
558	8995	7096
559	9010	7079
